client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
006ef1414401b08b7e95a43bbfc9160ef5d4b0896003f367716c74eaaba09b2bcf72e2e0465f9f9a3f50a412528d51ec6322db153889fc04e22ded318e619680	common_voice_ru_37128658.mp3	Я этим только могу отплатить за те выгоды, которыми я пользуюсь как землевладелец.	2	0			Нет акцента		ru	
06061ddf282577104887bf1f2bdaf32939d9e0b8d7b5485032e493b2068a0ca8c65e802031c48fa5494a0117aa44b45f5cff0711b183a32aaf5639f25658745f	common_voice_ru_37260865.mp3	Я сам разолью, сам.	2	0	twenties	female			ru	
0f91cd4ddd4ac4afe8db5f8e7f193e29ffa16841dcaf436ce7a2eed27c74167fd3bcf1b274b82e2b9f9deee655f2cfb5765667225b287fe9233a95dae33aae0f	common_voice_ru_36951415.mp3	И я от всей души пытался.	2	0			Русский		ru	
2b5b9ce84cd6fdfa007d7cf2b23acada75263f7efb18b2b819141ce88bd438eb45247008cf2945dd35ee23e692adadb99c8169e8e8fdbbcb1c3d6dbe52184f2d	common_voice_ru_36853431.mp3	А не будь этого — бросай всё!	2	0			Беларуский акцент		ru	
2c39a5ca71a0545c0d25b5db0fd6dbfa551034fdd4056e65e256cb72afcdfe1794c62e52afee86343bc274a56f3ab09bfab605b4a703210eae35162fa968473a	common_voice_ru_37258818.mp3	Мне бы памятник при жизни полагается по чину.	2	0	twenties	male			ru	
3dcf08cd24dd78d9578930b351019c8cd5ef699c8c941cf84a22947dda72b8cdcf0a317b891be66ae4866b841373de95e3187f8187b7a04d2b29d105489c6cfa	common_voice_ru_37264048.mp3	Они начинают потреблять доступные ресурсы по мере своей работы	2	0			плохой		ru	
5215bd2e4e7a6278f8db132b5b8b2038d4626fa1801aa3abc747aea85db58a2efc6cfb74dca5f4fd40d344b243b3f2250c0c59c1d11557ff04b021493a8d5f2b	common_voice_ru_37280440.mp3	Именно поэтому ситуация в Ливии вызывает даже еще большую озабоченность.	2	0					ru	
6057ec719ddacdb54f65e982d2173066156097d013ba452915d1174b38fbdefe5e285dded1f33f7264c22b54c42de41f94018d9a36eb98e19d3ab99ed1b9d89c	common_voice_ru_36988136.mp3	Я уезжаю и беру с собою сына.	2	0	teens	female			ru	
6a24ca764e9ae903fa895e3621ac017b3549164f544f4d5b544921ad20b21fe49bd461a884488bdccda318f04399be633453dea11be36291bc2cc7a2fca69c7a	common_voice_ru_37237724.mp3	– А он? – Ну и он сунул мне раза два тоже.	2	0					ru	
7c536678f07317abf9684ebabbcb50313f96a198102b4104b238d545a656acc1b6ae23fc5916b7913d2711d8922dfe54d2a6ce9579c9778464d3f4fe14efaa60	common_voice_ru_36991248.mp3	Я даже оставляю ему сына.	2	0					ru	
