client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531370.mp3	Вы скольких мест член, Николай Иваныч?	1	2	fourties	male			ru	
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531373.mp3	Фокусник рельсы тянет из пасти трамвая, скрыт циферблатами башни.	0	2	fourties	male			ru	
1df0889dc131917fcadc1f23a5ebfccc258d19c846c86f181253ebd2f4228a441bf95efd701990f481570128b479622aa04cb0dc5940fad90335f1df29c9833a	common_voice_ru_36531395.mp3	Если б быть мне косноязычным, как Дант или Петрарка!	1	2	fourties	male			ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36534119.mp3	Более определенные параметры обретает сложная природа эвентуального соглашения по расщепляющемуся материалу.	0	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36539680.mp3	Я предоставляю слово представителю Исламской Республики Иран по порядку ведения заседания.	0	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36540603.mp3	Кто будет национализовать один другого?	2	2			без акцента		ru	
97c5319cd514d32eb50cd74603812180c7b3490f47b4b0d9707e3deea8065ca804e03cb85b039bc57d6d2eed870e11bed62131379981e042bab54ca608965d28	common_voice_ru_36541326.mp3	«Аттракцион невиданной щедрости! Купите пятьдесят рублей за сто!» — зазывал прохожих мальчишка.	0	2					ru	
97c5319cd514d32eb50cd74603812180c7b3490f47b4b0d9707e3deea8065ca804e03cb85b039bc57d6d2eed870e11bed62131379981e042bab54ca608965d28	common_voice_ru_36541328.mp3	Даве тут проехали все верхами жнею смотреть.	1	2					ru	
2498b8f6d3f13d354d51c611bb86e5b8eea2eecdd511b64290ee099ddaab22f5b788656f3ec5a6b37a99cba301095f8aef0111520e7ff033a3edf8849b64a453	common_voice_ru_36547649.mp3	А если взаимно, вскрыв мошну тугую, предлагают: – Давайте честно поторгуем!	0	2					ru	
2498b8f6d3f13d354d51c611bb86e5b8eea2eecdd511b64290ee099ddaab22f5b788656f3ec5a6b37a99cba301095f8aef0111520e7ff033a3edf8849b64a453	common_voice_ru_36547651.mp3	Мне стало лень засыпать.	0	2					ru	
2498b8f6d3f13d354d51c611bb86e5b8eea2eecdd511b64290ee099ddaab22f5b788656f3ec5a6b37a99cba301095f8aef0111520e7ff033a3edf8849b64a453	common_voice_ru_36547652.mp3	Когда обе женщины сели в коляску, на обеих вдруг нашло смущение.	0	2					ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599213.mp3	Размягченное сердце не могло успокоиться в его груди.	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599216.mp3	Повестку дня Генеральной Ассамблеи можно рационализировать, чтобы наши обсуждения стали более целенаправленными.	0	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599218.mp3	По этой причине процесс установки полностью автоматизирован	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599295.mp3	Южнокорейские власти осуществляют подобную военную провокацию даже в то время, когда ведется диалог.	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599299.mp3	Мы искренне поздравляем его с вступлением на этот пост.	0	4			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599351.mp3	Мы понимаем, что эта концепция не обеспечивает универсальное решение.	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599355.mp3	Дело не только в личной жизни.	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599479.mp3	Минута молчания, посвященная молитве или размышлению.	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599482.mp3	С первого взгляда она не очень мне понравилась.	0	4			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599490.mp3	Стоит поп на копне, колпак на попе, копна под попом, поп под колпаком.	2	4			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599542.mp3	Пустые, глупые слова!	2	2			без акцента		ru	
1d616fa1b36f41495749a7364a4a1736a589375a5400d7ed127327df4e552dd5bbe4f71b608a9fa6da682debae8f2f391ae7afe43e3210eabd70a696623bc6fa	common_voice_ru_36599573.mp3	Это новая больница.	0	2			без акцента		ru	
